unix,date,symbol,open,high,low,close,Volume CRO,Volume USD
1648674000,3/30/2022 21:00,CRO/USD,0.4851,0.5029,0.4851,0.5029,181.726208,91.39011
1648670400,3/30/2022 20:00,CRO/USD,0.5149,0.5149,0.4852,0.4852,738.587299,358.3625575
1648666800,3/30/2022 19:00,CRO/USD,0.515,0.515,0.515,0.515,48.407766,24.92999949
1648663200,3/30/2022 18:00,CRO/USD,0.51,0.5149,0.51,0.5149,491.550094,253.0991434
1648659600,3/30/2022 17:00,CRO/USD,0.51,0.51,0.51,0.51,19.549019,9.96999969
1648645200,3/30/2022 13:00,CRO/USD,0.49,0.51,0.49,0.51,998.393889,509.1808834
1648641600,3/30/2022 12:00,CRO/USD,0.5039,0.5039,0.49,0.49,404.692348,198.2992505
1648638000,3/30/2022 11:00,CRO/USD,0.4861,0.4861,0.4861,0.4861,499.254845,242.6877802
1648634400,3/30/2022 10:00,CRO/USD,0.5042,0.5042,0.49,0.49,495.676318,242.8813958
1648630800,3/30/2022 9:00,CRO/USD,0.5095,0.5631,0.49,0.5631,524.691964,295.4540449
1648627200,3/30/2022 8:00,CRO/USD,0.5499,0.65,0.5099,0.5632,1855.416408,1044.970521
1648620000,3/30/2022 6:00,CRO/USD,0.4902,0.4902,0.4902,0.4902,228.259728,111.8929187
1648616400,3/30/2022 5:00,CRO/USD,0.5655,0.5655,0.5095,0.5095,522.647138,266.2887168
1648612800,3/30/2022 4:00,CRO/USD,0.4934,0.65,0.4934,0.5655,4760.357768,2691.982318
1648602000,3/30/2022 1:00,CRO/USD,0.4947,0.4947,0.49,0.49,506.556841,248.2128521
1648598400,3/30/2022 0:00,CRO/USD,0.539,0.54,0.539,0.54,278.021336,150.1315214
1648591200,3/29/2022 22:00,CRO/USD,0.539,0.539,0.539,0.539,118.478664,63.8599999
1648580400,3/29/2022 19:00,CRO/USD,0.54,0.54,0.54,0.54,18.462962,9.96999948
1648576800,3/29/2022 18:00,CRO/USD,0.5399,0.54,0.507,0.507,157.681073,79.94430401
1648573200,3/29/2022 17:00,CRO/USD,0.4956,0.4956,0.4956,0.4956,67.066259,33.23803796
1648562400,3/29/2022 14:00,CRO/USD,0.5485,0.5487,0.5485,0.5487,118.280481,64.90049992
1648558800,3/29/2022 13:00,CRO/USD,0.52,0.52,0.51,0.51,157.442308,80.29557708
1648555200,3/29/2022 12:00,CRO/USD,0.5485,0.5485,0.5485,0.5485,80,43.88
1648537200,3/29/2022 7:00,CRO/USD,0.55,0.55,0.55,0.55,90.672727,49.86999985
1648533600,3/29/2022 6:00,CRO/USD,0.4917,0.55,0.4917,0.55,542.278682,298.2532751
1648530000,3/29/2022 5:00,CRO/USD,0.4901,0.4901,0.4901,0.4901,98,48.0298
1648526400,3/29/2022 4:00,CRO/USD,0.5,0.5,0.5,0.5,114.596055,57.2980275
1648515600,3/29/2022 1:00,CRO/USD,0.5095,0.5095,0.5,0.5,1846.521258,923.260629
1648504800,3/28/2022 22:00,CRO/USD,0.5499,0.5499,0.5499,0.5499,25.040916,13.76999971
1648501200,3/28/2022 21:00,CRO/USD,0.5015,0.5655,0.5,0.5,1074.877656,537.438828
1648497600,3/28/2022 20:00,CRO/USD,0.5151,0.5499,0.5015,0.5015,425.345378,213.3107071
1648494000,3/28/2022 19:00,CRO/USD,0.5151,0.5996,0.5151,0.5996,729.8067,437.5920973
1648490400,3/28/2022 18:00,CRO/USD,0.5995,0.5995,0.5995,0.5995,16.630525,9.969999738
1648486800,3/28/2022 17:00,CRO/USD,0.5458,0.6,0.5114,0.5114,526.07286,269.0336606
1648483200,3/28/2022 16:00,CRO/USD,0.5092,0.5655,0.4639,0.5655,421.330951,238.2626528
1648479600,3/28/2022 15:00,CRO/USD,0.5094,0.54,0.5092,0.5092,394.273358,200.7639939
1648476000,3/28/2022 14:00,CRO/USD,0.5094,0.5094,0.5092,0.5092,501.124147,255.1724157
1648472400,3/28/2022 13:00,CRO/USD,0.4924,0.5092,0.4924,0.5092,591.619119,301.2524554
1648465200,3/28/2022 11:00,CRO/USD,0.4982,0.4982,0.453,0.4834,337.042795,162.9264871
1648461600,3/28/2022 10:00,CRO/USD,0.508,0.508,0.508,0.508,195.03937,99.07999996
1648454400,3/28/2022 8:00,CRO/USD,0.5081,0.5081,0.5081,0.5081,1023.603052,520.0927107
1648443600,3/28/2022 5:00,CRO/USD,0.49,0.49,0.49,0.49,1193.474219,584.8023673
1648432800,3/28/2022 2:00,CRO/USD,0.484,0.484,0.484,0.484,48.829182,23.63332409
1648429200,3/28/2022 1:00,CRO/USD,0.49,0.49,0.49,0.49,58.10204,28.4699996
1648425600,3/28/2022 0:00,CRO/USD,0.4899,0.49,0.4899,0.49,42.958618,21.04972282
1648422000,3/27/2022 23:00,CRO/USD,0.4827,0.4827,0.4827,0.4827,21.616656,10.43435985
1648418400,3/27/2022 22:00,CRO/USD,0.4851,0.4851,0.4851,0.4851,22.27,10.803177
1648414800,3/27/2022 21:00,CRO/USD,0.4898,0.4898,0.4784,0.4784,375.592234,179.6833247
1648411200,3/27/2022 20:00,CRO/USD,0.47,0.47,0.47,0.47,32.770394,15.40208518
1648393200,3/27/2022 15:00,CRO/USD,0.493,0.493,0.4626,0.4626,207.415053,95.95020352
1648386000,3/27/2022 13:00,CRO/USD,0.493,0.493,0.493,0.493,58.154158,28.66999989
1648375200,3/27/2022 10:00,CRO/USD,0.49,0.49,0.49,0.49,55,26.95
1648371600,3/27/2022 9:00,CRO/USD,0.4899,0.49,0.4899,0.49,181.667567,89.01710783
1648346400,3/27/2022 2:00,CRO/USD,0.4585,0.4585,0.4585,0.4585,23.232552,10.65212509
1648342800,3/27/2022 1:00,CRO/USD,0.4583,0.4583,0.4583,0.4583,139.507272,63.93618276
1648332000,3/26/2022 22:00,CRO/USD,0.4899,0.4899,0.4899,0.4899,21.616656,10.58999977
1648310400,3/26/2022 16:00,CRO/USD,0.5,0.5,0.4425,0.4425,261.281977,115.6172748
1648306800,3/26/2022 15:00,CRO/USD,0.5,0.5,0.5,0.5,171.08,85.54
1648299600,3/26/2022 13:00,CRO/USD,0.4709,0.499,0.4709,0.499,1329.95354,663.6468165
1648296000,3/26/2022 12:00,CRO/USD,0.4714,0.4714,0.4493,0.4493,55.887952,25.11045683
1648292400,3/26/2022 11:00,CRO/USD,0.4715,0.4715,0.4715,0.4715,354.528101,167.1599996
1648285200,3/26/2022 9:00,CRO/USD,0.4662,0.4715,0.4662,0.4715,1020.541977,481.1855422
1648267200,3/26/2022 4:00,CRO/USD,0.4661,0.4661,0.4661,0.4661,64.192233,29.9199998
1648263600,3/26/2022 3:00,CRO/USD,0.471,0.471,0.471,0.471,105.902335,49.87999978
1648256400,3/26/2022 1:00,CRO/USD,0.4718,0.4718,0.4662,0.4662,339.82416,158.4260234
1648249200,3/25/2022 23:00,CRO/USD,0.4734,0.4734,0.4734,0.4734,20,9.468
1648242000,3/25/2022 21:00,CRO/USD,0.4678,0.4678,0.4678,0.4678,21.312526,9.969999663
1648231200,3/25/2022 18:00,CRO/USD,0.4698,0.4698,0.4698,0.4698,21.221796,9.969999761
1648224000,3/25/2022 16:00,CRO/USD,0.4698,0.4698,0.4698,0.4698,34.738186,16.31999978
1648220400,3/25/2022 15:00,CRO/USD,0.4582,0.4586,0.4582,0.4586,239.86,109.999796
